UniprotKB,r,theta,DC,CC,BC,EC,idr,nucleus,cytoplasm,endomembrane,multi
Q8TF39,18.06331593,0.582204598,24,1.92E-05,11789.65117,0.00544478,0,1,0,0,0
Q9NX65,17.78871374,0.581228887,31,2.01E-05,29385.5776,0.00541633,0,0,0,0,1
Q9UHQ4,18.76701865,2.692389497,8,1.89E-05,1313.667607,0.00167737,0,0,1,0,0
Q9UNY5,17.2773322,0.581284886,45,2.04E-05,30906.51629,0.00647159,0,0,0,0,1
O60443,18.459113,2.865917497,15,2.05E-05,5402.964616,0.01236069,0,0,1,0,0
P46939,17.21130564,1.67716148,47,2.28E-05,51962.45096,0.02817778,0,0,0,0,1
P98164,16.81595807,2.997122352,60,2.11E-05,52261.96187,0.00871658,0,0,0,0,1
Q8WV83,18.76712781,2.429246592,8,1.77E-05,972.7083998,0.00051736,0,0,0,1,0
P42574,17.25676385,4.065328711,46,2.15E-05,20586.75524,0.02112206,1,0,0,0,1
P47929,17.34687051,0.576217956,43,2.16E-05,19256.65219,0.01950732,0,0,0,0,0
P49662,17.98032439,4.063648761,26,2.05E-05,13099.12004,0.01102602,0,0,0,0,1
P53673,18.46059034,3.814447487,15,2.03E-05,4053.978947,0.00967916,0,0,0,0,0
P99999,17.80207407,2.246900644,30,2.17E-05,16207.75072,0.02084998,0,0,1,0,0
Q6UWN0,16.65983282,1.057593326,66,2.08E-05,56977.19033,0.00700676,0,0,0,0,0
Q6ZN54,17.80179163,4.140933738,30,2.02E-05,10597.01323,0.00467551,0,0,0,0,1
Q96GX9,18.4886898,3.176732729,14,1.96E-05,2195.813707,0.00356507,0,0,0,0,1
Q99983,18.93597831,5.72413568,5,1.85E-05,691.6317388,0.00169471,0,0,0,0,1
Q9C000,18.58401442,4.064044722,12,1.98E-05,6209.450022,0.00534215,1,0,0,0,1
Q9H0B3,16.99406998,3.934196691,54,2.12E-05,46320.44449,0.01500555,0,0,0,0,0
Q9HD36,18.64981352,3.870148667,10,1.91E-05,841.3044249,0.00254019,1,0,0,0,0
Q9NQS1,18.93588588,3.868218865,5,1.93E-05,107.5016665,0.00863663,0,0,0,0,1
O14730,18.33168893,3.952543182,18,2.03E-05,1972.748029,0.01379561,0,0,0,0,1
Q9BYX4,18.59829353,3.952528499,11,1.99E-05,1092.233926,0.00631079,0,0,0,0,0
Q9H0X9,18.33670489,1.360545731,17,2.06E-05,3263.153864,0.00830068,0,0,0,1,0
Q9HA38,18.53678598,5.682118788,13,1.97E-05,1122.681718,0.00814394,0,1,0,0,0
O14732,18.60305172,2.828137874,11,1.91E-05,16649.63323,0.0025787,0,0,0,0,1
P01160,17.50614423,2.8143598,38,1.96E-05,20088.94821,0.00395686,1,0,0,0,0
Q03933,17.50463122,4.555335816,38,2.20E-05,23209.90196,0.03052606,0,1,0,0,0
Q15011,18.19423068,2.563862418,21,2.05E-05,9787.998806,0.00775547,0,0,0,0,1
Q15915,17.31132376,2.812287398,44,1.97E-05,12974.4521,0.00534558,0,1,0,0,0
Q16658,17.81358695,4.269104065,30,2.21E-05,9972.398161,0.03600393,0,0,0,0,1
Q8TBC4,18.24659292,3.56894579,20,2.04E-05,4291.211686,0.00934897,1,0,0,0,1
Q9HBV2,17.19191878,2.470576746,48,2.12E-05,61759.66082,0.01066077,0,0,0,0,0
Q9UNA3,18.53664901,2.897835405,13,1.85E-05,2113.471603,0.00118942,0,0,0,0,0
P45983,15.97935107,4.304344964,94,2.34E-05,69149.44442,0.06574166,0,0,0,0,0
P80370,17.07176246,2.072465206,52,2.03E-05,28396.65715,0.0045737,0,0,0,1,0
Q12852,18.93551607,4.251820003,5,1.97E-05,136.7705052,0.00366421,0,0,0,0,1
Q16584,18.37868879,4.251706932,16,2.08E-05,2176.129372,0.01150697,0,0,1,0,0
Q86Y07,18.11585964,2.607558241,23,2.24E-05,6793.842415,0.02369816,0,0,0,1,0
Q8TC27,18.15649858,2.639438183,22,1.96E-05,7692.001418,0.00262608,0,0,0,0,1
Q8WTR2,18.37468014,4.108308946,16,2.03E-05,1447.974286,0.01041857,0,1,0,0,0
Q8WVP5,18.97816112,2.022311604,4,1.82E-05,86.93045806,0.00123857,0,0,0,0,0
Q9H6X2,17.35479858,1.550353367,42,2.13E-05,34457.69907,0.01643561,0,0,0,1,0
Q9NYL2,17.94439402,3.43100637,27,2.25E-05,24342.63163,0.03772349,0,0,1,0,0
Q9UQF2,17.87322776,4.251847569,29,2.10E-05,9594.198635,0.01049548,0,0,0,1,0
Q9Y2U5,18.04436386,3.429888315,24,2.12E-05,2601.680335,0.02367861,0,0,0,0,1
Q9Y5G8,17.09299152,1.427981877,51,2.05E-05,50946.55891,0.00606669,0,0,0,0,1
O14734,18.76800065,5.797414393,8,2.19E-05,2334.438787,0.01785705,0,0,0,0,1
P26045,17.57694342,3.447349292,36,2.14E-05,8755.529781,0.02920208,0,0,0,0,0
P29590,15.3074553,4.852618268,135,2.42E-05,170597.3192,0.10403905,1,1,0,0,0
O14735,18.45940864,1.538715152,15,2.09E-05,2977.998532,0.00950463,0,0,0,0,1
Q13415,17.39269106,5.330768803,41,2.24E-05,8972.339679,0.03805056,1,1,0,0,0
Q86UT6,18.18942144,2.981434515,21,2.17E-05,9664.728812,0.01419038,0,0,0,0,1
Q8N0Z6,18.15729499,4.62524359,22,2.06E-05,10313.97253,0.01442451,0,1,0,0,0
Q8WU79,18.28469193,0.18686295,19,2.03E-05,9342.466597,0.00676365,0,0,0,0,1
O14737,18.60215323,5.09906341,11,2.12E-05,734.4278914,0.01633437,0,0,0,0,1
P23258,15.7212901,5.126931521,109,2.38E-05,71131.17193,0.0932889,0,0,0,0,0
Q15170,17.2820564,4.753731246,45,2.16E-05,23894.70465,0.02218681,0,1,0,0,0
Q8N3Y1,17.81302837,5.09901378,30,2.18E-05,7209.714828,0.03610176,0,0,1,0,0
