cooperative	common	V1	V2	degree_common	degree_V1	degree_V2	score_competitive	score_cooperative	paralog	quantile	thetad_V1_V2
0	O00187	O75636	P11226	9	4	10	0.46	0.54	no	1	1.953157268
0	Q04828	P51857	Q07654	7	8	3	0.46	0.54	no	1	3.003277857
0	P16233	Q9HBU6	Q6DD87	8	8	4	0.46	0.54	no	1	1.884131801
0	Q9HB29	O75061	O00160	5	7	10	0.462	0.538	no	1	2.70873592
0	Q8WWH5	Q96DP5	P11168	6	5	3	0.462	0.538	no	1	3.026895723
0	P51687	Q6UWW8	Q5MJ09	7	6	7	0.462	0.538	no	1	2.471479862
0	P50747	Q7Z402	Q5T0L3	9	5	9	0.464	0.536	no	1	0.350714806
0	P21941	P20849	O15232	6	7	8	0.464	0.536	no	1	1.529669302
0	Q9GZN7	Q9Y485	Q9Y4E6	10	7	5	0.464	0.536	no	1	2.360690404
0	Q9UGC7	P36222	Q9Y5R4	9	9	5	0.464	0.536	no	1	0.422138314
0	Q96A70	Q9NZC9	Q16890	10	8	8	0.464	0.536	no	1	1.813608965
0	Q8N6V9	O94818	Q8NEF3	7	7	10	0.466	0.534	no	1	3.299133969
0	Q8IVA1	Q5W186	P37058	7	4	7	0.466	0.534	no	1	2.22083942
0	P20366	Q03403	Q86UU9	7	2	1	0.466	0.534	no	1	1.429415705
0	Q9HBU9	Q9ULQ1	Q8TDW0	8	7	7	0.466	0.534	no	1	0.540714234
0	Q16602	O60896	P01258	7	3	1	0.468	0.532	no	1	2.52006121
0	P42330	P51857	P17516	6	8	3	0.468	0.532	yes	1	3.003241261
0	P01571	Q8IVU9	Q6UWD8	6	3	3	0.468	0.532	no	1	1.717386423
0	Q92686	Q9BVG3	A8K855	9	6	7	0.468	0.532	no	1	1.882105348
0	Q8TDB8	Q6P4I2	P11169	6	5	4	0.468	0.532	no	1	0.264826857
0	P17787	P43681	P30532	3	3	7	0.468	0.532	yes	1	2.110251584
0	O00230	P02144	P31391	6	2	2	0.47	0.53	no	1	2.249221445
0	O60896	Q16602	O15432	3	7	8	0.47	0.53	no	1	2.519895886
0	Q7Z3Y8	Q12934	O95995	8	9	3	0.47	0.53	no	1	1.190630374
0	O95872	Q52MB2	Q9NZH6	10	8	7	0.47	0.53	no	1	2.779403459
0	Q9BXY4	Q6ZPD9	Q9ULT6	4	7	7	0.47	0.53	no	1	1.45634122
0	P20366	Q03403	P29371	7	2	2	0.47	0.53	no	1	1.17643694
0	P35346	P21554	P30872	7	7	3	0.472	0.528	no	1	1.961194815
0	P21728	P30542	Q9NYX4	7	9	4	0.472	0.528	no	1	1.749071127
0	Q9NS61	Q9UK17	Q9BRK0	9	3	5	0.472	0.528	no	1	1.58960178
0	Q8TCW7	P31997	Q5VZK9	10	3	10	0.472	0.528	no	1	2.335656691
0	Q53GG5	Q8TDC0	Q86TC9	9	4	7	0.472	0.528	no	1	4.135485051
0	O00187	Q15485	P0C0L5	9	7	3	0.474	0.526	no	1	1.952455709
0	P51857	Q04828	O95057	8	7	6	0.474	0.526	no	1	3.003248819
0	P48546	P09681	P01275	2	7	4	0.474	0.526	no	1	1.684199057
0	Q70IA8	Q9NWS6	Q8IVU9	4	7	3	0.474	0.526	no	1	1.718425947
0	Q6ZPD9	O95428	P13671	7	8	4	0.476	0.524	no	1	2.549822641
0	Q6ZPD9	Q9BXY4	P27918	7	4	10	0.476	0.524	no	1	1.456840471
0	P01571	Q6UWD8	P01569	6	3	10	0.476	0.524	no	1	2.92520874
0	P80404	P07306	Q8IWY8	5	4	10	0.478	0.522	no	1	1.873254018
0	P21754	P10323	Q8IXA5	7	6	6	0.478	0.522	no	1	3.238630889
0	O00187	Q15485	O43897	9	7	5	0.48	0.52	no	1	1.952590678
0	P50225	Q9BR01	O00338	8	9	9	0.48	0.52	yes	1	2.63788494
0	P50747	Q7Z402	O00763	9	5	6	0.482	0.518	no	1	2.246368035
0	O60895	Q16602	O15432	2	7	8	0.482	0.518	no	1	2.519895886
0	Q9Y6H5	Q9Y5A7	O60229	10	10	7	0.482	0.518	no	1	1.006016293
0	Q86T13	Q7Z7A4	Q96B96	5	10	5	0.482	0.518	no	1	1.531435161
0	Q8IWA6	O00488	Q9H8W3	6	10	3	0.482	0.518	no	1	2.901099535
0	A2RUC4	Q5T0L3	Q8TCB7	8	9	8	0.484	0.516	no	1	1.938625944
0	Q86UL8	O00548	P01135	10	5	10	0.484	0.516	no	1	1.853907929
0	Q9NU23	Q9NWU1	P16219	6	7	8	0.484	0.516	no	1	1.257596311
